OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
UNE,Antioquia,Abejorral,PARQUE PRINCIPAL,500206001,CL. 50 #49-88 (PARQUE PRINCIPAL ABEJORRAL),-7542688,5791391,06/02/2017 12:00:00 AM
UNE,Antioquia,Abriaquí,PARQUE PRINCIPAL,500406001,CALLE 11 CON LA CARRERA 10,-76064467,6631919,06/02/2017 12:00:00 AM
UNE,Antioquia,Alejandría,PARQUE PRINCIPAL,520106001,CALLE 20 CON CARRERA 19,-751413,6376899,06/02/2017 12:00:00 AM
UNE,Antioquia,Amagá,PARQUE PRINCIPAL,503006001,CALLE 51 CON CARRERA 50,-75703081,6040611,06/02/2017 12:00:00 AM
UNE,Antioquia,Amalfi,PARQUE PRINCIPAL,503106001,CALLE 20 CON CR 22,-75075022,6907188,06/02/2017 12:00:00 AM
UNE,Antioquia,Andes,PARQUE PRINCIPAL,503406001,CLL 50 CON 51 (PARQUE PRINCIPAL),-7587768,5655592,06/02/2017 12:00:00 AM
UNE,Antioquia,Angelópolis,PARQUE PRINCIPAL,503606001,CL. 10 (PARQUE PRINCIPAL ),-7571028,6111508,06/02/2017 12:00:00 AM
UNE,Antioquia,Angostura,PARQUE PRINCIPAL,503806001,CL. 10 #8A (PARQUE PRINCIPAL,-75334872,688574,06/02/2017 12:00:00 AM
UNE,Antioquia,Anorí,PARQUE PRINCIPAL,504006001,CRA. 30 #30-58 (PARQUE PRINCIPAL,-75145833,7073743,06/02/2017 12:00:00 AM
UNE,Antioquia,Anza,PARQUE PRINCIPAL,504406001,CALLE 10 CON CARRERA 11,-75853725,6303461,06/02/2017 12:00:00 AM
UNE,Antioquia,Apartadó,SECTOR CIUDADELA EDUCATIVA,504506001,CALLE 98 CON CARRERA 97,-76629858,7881105,06/02/2017 12:00:00 AM
UNE,Antioquia,Arboletes,PARQUE PRINCIPAL,505106001,CALLE 31 CON CR 31,-7642725,885295,06/02/2017 12:00:00 AM
ERT,Antioquia,Arboletes,Parque Educativo los Manglares,505108001,Carrera 29 Calle 31- 1,-76427522,8853158,05/19/2018 12:00:00 AM
UNE,Antioquia,Argelia,PARQUE PRINCIPAL,505506001,CL. 7 #3-2 (PARQUE PRINCIPAL ARGELIA),-7514283,5731127,06/02/2017 12:00:00 AM
UNE,Antioquia,Armenia,PARQUE PRINCIPAL,505906001,CL. 10 #9-2 (PARQUE PRINCIPAL ARMENIA),-75787702,6156422,06/02/2017 12:00:00 AM
UNE,Antioquia,Barbosa,PARQUE PRINCIPAL,507906001,CL. 13 #14 (PARQUE PRINCIPAL BARBOSA),-75331791,6437055,06/02/2017 12:00:00 AM
ETB,Antioquia,Bello,PARQUE SANTANDER CARRERA 50 NO 51 - 00,508801000,PARQUE SANTANDER CARRERA 50 NO 51 - 00,-7556025,6339083,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE LA CHIQUINQUIRA,508806001,AVENIDA 43 CON DIAGONAL 61,-75549902,6342916,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,BARRIO PARIS,508806002,CALLE 20F CON CARRERA 78A,-75582261,631323,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PLATEA MARCO FIDEL SUAREZ,508806003,CARRERA 52 CON LA CALLE 53,-75559652,6336483,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE LA MADRE,508806004,CARRERA 46 CON CALLE 50,-75555102,6335674,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE EL CARMEN,508806005,CARRERA 62 CON LA CALLE 57A,-75566475,6341505,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,BARRIO FONTIDUEÑO,508806006,DIAGONAL 44 CON AV 33,-7553844,633288,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE EL MIRADOR,508806007,CRA. 49A #67-1,-75558661,6347294,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,BARRIO LA GABRIELA,508806008,CALLE 31 CON CARRERA 43B,-75551423,6319415,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE GRAN AVENIDA,508806009,CARRERA 57 CON CALLE 33,-7556226,6320573,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PUERTA DEL NORTE NIQUIA,508806010,DIAGONAL 55 CON LA AVENIDA 35,-7554418,6339885,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,UNICAF,508806011,DIAGONAL 65 CON AV 46 (UNICAF),-75552728,6346283,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE GORETTI,508806012,CRA. 63B #68A (PARQ GORETTI),-75566408,6348661,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,SANTA RITA LA ESPERANZA,508806013,CRA 40C CON CALLE 21,-75546986,630823,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,POLIDEPORTIVO TULIO OSPINA,508806014,AV 42 CON DG 51,-75547252,6334386,04/19/2017 12:00:00 AM
UNE,Antioquia,Belmira,PARQUE PRINCIPAL,508606001,CRA. 21 #19-2 (PARQUE PRINCIPAL,-75666944,6605833,06/02/2017 12:00:00 AM
UNE,Antioquia,Betania,PARQUE PRINCIPAL,509106001,CRA 6 CON CALLE 14 (PARQUE PRINCIPAL),-75976325,5744966,06/02/2017 12:00:00 AM
UNE,Antioquia,Betulia,PARQUE PRINCIPAL,509306001,CL. 20 CON 21 (PARQUE PRINCIPAL),-75984583,611338,06/02/2017 12:00:00 AM
UNE,Antioquia,Briceño,PARQUE PRINCIPAL,510706001,CARRERA 7 CON CALLE 5,-75551794,7110513,06/02/2017 12:00:00 AM
UNE,Antioquia,Buriticá,PARQUE PRINCIPAL,511306001,CALLE 8 #3-56,-75906688,6719813,06/02/2017 12:00:00 AM
UNE,Antioquia,Cáceres,PARQUE PRINCIPAL,512006001,CARRERA 50 CON CALLE #50,-75347805,7582297,06/02/2017 12:00:00 AM
UNE,Antioquia,Caicedo,PARQUE PRINCIPAL,512506001,CL. 6 #4-2 (PARQUE PRINCIPAL CAICEDO),-759825,6405833,06/02/2017 12:00:00 AM
UNE,Antioquia,Caldas,PARQUE PRINCIPAL,512906001,CRA. 50 #129 SUR (PARQUE PRINCIPAL,-75635686,6091847,06/02/2017 12:00:00 AM
