OPERADOR,DEPARTAMENTO,MUNICIPIO,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA ACTIVACIÓN
UNE,Antioquia,Abejorral,PARQUE PRINCIPAL,500206001,CL. 50 #49-88 (PARQUE PRINCIPAL ABEJORRAL),-75.42688,5.791391,06/02/2017 12:00:00 AM
UNE,Antioquia,Abriaquí,PARQUE PRINCIPAL,500406001,CALLE 11 CON LA CARRERA 10,-76.064467,6.631919,06/02/2017 12:00:00 AM
UNE,Antioquia,Alejandría,PARQUE PRINCIPAL,520106001,CALLE 20 CON CARRERA 19,-75.1413,6.376899,06/02/2017 12:00:00 AM
UNE,Antioquia,Amagá,PARQUE PRINCIPAL,503006001,CALLE 51 CON CARRERA 50,-75.703081,6.040611,06/02/2017 12:00:00 AM
UNE,Antioquia,Amalfi,PARQUE PRINCIPAL,503106001,CALLE 20 CON CR 22,-75.075022,6.907188,06/02/2017 12:00:00 AM
UNE,Antioquia,Andes,PARQUE PRINCIPAL,503406001,CLL 50 CON 51 (PARQUE PRINCIPAL),-75.87768,5.655592,06/02/2017 12:00:00 AM
UNE,Antioquia,Angelópolis,PARQUE PRINCIPAL,503606001,CL. 10 (PARQUE PRINCIPAL ),-75.71028,6.111508,06/02/2017 12:00:00 AM
UNE,Antioquia,Angostura,PARQUE PRINCIPAL,503806001,CL. 10 #8A (PARQUE PRINCIPAL,-75.334872,6.88574,06/02/2017 12:00:00 AM
UNE,Antioquia,Anorí,PARQUE PRINCIPAL,504006001,CRA. 30 #30-58 (PARQUE PRINCIPAL,-75.145833,7.073743,06/02/2017 12:00:00 AM
UNE,Antioquia,Anza,PARQUE PRINCIPAL,504406001,CALLE 10 CON CARRERA 11,-75.853725,6.303461,06/02/2017 12:00:00 AM
UNE,Antioquia,Apartadó,SECTOR CIUDADELA EDUCATIVA,504506001,CALLE 98 CON CARRERA 97,-76.629858,7.881105,06/02/2017 12:00:00 AM
UNE,Antioquia,Arboletes,PARQUE PRINCIPAL,505106001,CALLE 31 CON CR 31,-76.42725,8.85295,06/02/2017 12:00:00 AM
UNE,Antioquia,Argelia,PARQUE PRINCIPAL,505506001,CL. 7 #3-2 (PARQUE PRINCIPAL ARGELIA),-75.14283,5.731127,06/02/2017 12:00:00 AM
UNE,Antioquia,Armenia,PARQUE PRINCIPAL,505906001,CL. 10 #9-2 (PARQUE PRINCIPAL ARMENIA),-75.787702,6.156422,06/02/2017 12:00:00 AM
UNE,Antioquia,Barbosa,PARQUE PRINCIPAL,507906001,CL. 13 #14 (PARQUE PRINCIPAL BARBOSA),-75.331791,6.437055,06/02/2017 12:00:00 AM
ETB,Antioquia,Bello,PARQUE SANTANDER CARRERA 50 NO 51 - 00,508801000,PARQUE SANTANDER CARRERA 50 NO 51 - 00,-75.56025,6.339083,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE LA CHIQUINQUIRA,508806001,AVENIDA 43 CON DIAGONAL 61,-75.549902,6.342916,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,BARRIO PARIS,508806002,CALLE 20F CON CARRERA 78A,-75.582261,6.31323,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PLATEA MARCO FIDEL SUAREZ,508806003,CARRERA 52 CON LA CALLE 53,-75.559652,6.336483,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE LA MADRE,508806004,CARRERA 46 CON CALLE 50,-75.555102,6.335674,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE EL CARMEN,508806005,CARRERA 62 CON LA CALLE 57A,-75.566475,6.341505,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,BARRIO FONTIDUEÑO,508806006,DIAGONAL 44 CON AV 33,-75.53844,6.33288,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE EL MIRADOR,508806007,CRA. 49A #67-1,-75.558661,6.347294,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,BARRIO LA GABRIELA,508806008,CALLE 31 CON CARRERA 43B,-75.551423,6.319415,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE GRAN AVENIDA,508806009,CARRERA 57 CON CALLE 33,-75.56226,6.320573,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PUERTA DEL NORTE NIQUIA,508806010,DIAGONAL 55 CON LA AVENIDA 35,-75.54418,6.339885,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,UNICAF,508806011,DIAGONAL 65 CON AV 46 (UNICAF),-75.552728,6.346283,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,PARQUE GORETTI,508806012,CRA. 63B #68A (PARQ GORETTI),-75.566408,6.348661,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,SANTA RITA LA ESPERANZA,508806013,CRA 40C CON CALLE 21,-75.546986,6.30823,04/19/2017 12:00:00 AM
UNE,Antioquia,Bello,POLIDEPORTIVO TULIO OSPINA,508806014,AV 42 CON DG 51,-75.547252,6.334386,04/19/2017 12:00:00 AM
UNE,Antioquia,Belmira,PARQUE PRINCIPAL,508606001,CRA. 21 #19-2 (PARQUE PRINCIPAL,-75.666944,6.605833,06/02/2017 12:00:00 AM
UNE,Antioquia,Betania,PARQUE PRINCIPAL,509106001,CRA 6 CON CALLE 14 (PARQUE PRINCIPAL),-75.976325,5.744966,06/02/2017 12:00:00 AM
UNE,Antioquia,Betulia,PARQUE PRINCIPAL,509306001,CL. 20 CON 21 (PARQUE PRINCIPAL),-75.984583,6.11338,06/02/2017 12:00:00 AM
UNE,Antioquia,Briceño,PARQUE PRINCIPAL,510706001,CARRERA 7 CON CALLE 5,-75.551794,7.110513,06/02/2017 12:00:00 AM
UNE,Antioquia,Buriticá,PARQUE PRINCIPAL,511306001,CALLE 8 #3-56,-75.906688,6.719813,06/02/2017 12:00:00 AM
UNE,Antioquia,Cáceres,PARQUE PRINCIPAL,512006001,CARRERA 50 CON CALLE #50,-75.347805,7.582297,06/02/2017 12:00:00 AM
UNE,Antioquia,Caicedo,PARQUE PRINCIPAL,512506001,CL. 6 #4-2 (PARQUE PRINCIPAL CAICEDO),-75.9825,6.405833,06/02/2017 12:00:00 AM
UNE,Antioquia,Caldas,PARQUE PRINCIPAL,512906001,CRA. 50 #129 SUR (PARQUE PRINCIPAL,-75.635686,6.091847,06/02/2017 12:00:00 AM
